,,,,,Stock Code,,,,,,,,,
16795,21694,,,16795,,,,,,,,,,
17419,79163,,,17419,,,,,,,,,,
16004,72779,,,16004,,,,,,,,,,
14628,85230G,,,14628,,,,,,,,,,
15611,72024U,,,15611,,,,,,,,,,
14376,84969,,,14376,,,,,,,,,,
12857,22309,,,12857,,,,,,,,,,
14538,21559,,,14538,,,,,,,,,,
17218,21973,,,17218,,,,,,,,,,
13650,35918B,,,13650,,,,,,,,,,
15259,85032D,,,15259,,,,,,,,,,
13971,20990,,,13971,,,,,,,,,,
15218,35914,,,15218,,,,,,,,,,
15950,21679,,,15950,,,,,,,,,,
17353,47590A,,,17353,,,,,,,,,,
17536,35610B,,,17536,,,,,,,,,,
15003,21820,,,15003,,,,,,,,,,
16481,85164B,,,16481,,,,,,,,,,
13459,85168B,,,13459,,,,,,,,,,
16281,85168A,,,16281,,,,,,,,,,
12905,21924,,,12905,,,,,,,,,,
12361,84795E,,,12361,,,,,,,,,,
17059,21937,,,17059,,,,,,,,,,
15845,22047,,,15845,,,,,,,,,,
17050,21251,,,17050,,,,,,,,,,
17726,21676,,,17726,,,,,,,,,,
13514,85226A,,,13514,,,,,,,,,,
15766,78056,,,15766,,,,,,,,,,
15959,21146,,,15959,,,,,,,,,,
12745,22084,,,12745,,,,,,,,,,
16154,85177,,,16154,,,,,,,,,,
12606,22097,,,12606,,,,,,,,,,
13054,90125E,,,13054,,,,,,,,,,
12454,90129B,,,12454,,,,,,,,,,
15383,21552,,,15383,,,,,,,,,,
12706,85136A,,,12706,,,,,,,,,,
12404,84874B,,,12404,,,,,,,,,,
16840,72754D,,,16840,,,,,,,,,,
12382,20818,,,12382,,,,,,,,,,
12466,18007,,,12466,,,,,,,,,,
16291,21725,,,16291,,,,,,,,,,
12555,85185C,,,12555,,,,,,,,,,
12858,21551,,,12858,,,,,,,,,,
14912,84497,,,14912,,,,,,,,,,
12846,84625C,,,12846,,,,,,,,,,
16575,47592A,,,16575,,,,,,,,,,
13664,47593B,,,13664,,,,,,,,,,
16047,21158,,,16047,,,,,,,,,,
12792,47420,,,12792,,,,,,,,,,
12696,22170,,,12696,,,,,,,,,,
17130,37506,,,17130,,,,,,,,,,
15357,37508,,,15357,,,,,,,,,,
13776,22129,,,13776,,,,,,,,,,
13528,21632,,,13528,,,,,,,,,,
14380,47503G,,,14380,,,,,,,,,,
14079,84620,,,14079,,,,,,,,,,
17672,22341,,,17672,,,,,,,,,,
12497,22342,,,12497,,,,,,,,,,
15702,72818,,,15702,,,,,,,,,,
14358,35793,,,14358,,,,,,,,,,
12570,21256,,,12570,,,,,,,,,,
15073,72807C,,,15073,,,,,,,,,,
13698,90148,,,13698,,,,,,,,,,
16051,90139,,,16051,,,,,,,,,,
14365,90203,,,14365,,,,,,,,,,
12873,90180A,,,12873,,,,,,,,,,
15695,90147,,,15695,,,,,,,,,,
15638,90155,,,15638,,,,,,,,,,
15798,84688,,,15798,,,,,,,,,,
14551,21390,,,14551,,,,,,,,,,
12869,35809B,,,12869,,,,,,,,,,
17604,35810B,,,17604,,,,,,,,,,
15389,90214A,,,15389,,,,,,,,,,
16430,22061,,,16430,,,,,,,,,,
13048,21972,,,13048,,,,,,,,,,
15797,21211,,,15797,,,,,,,,,,
16320,90002E,,,16320,,,,,,,,,,
13101,90002B,,,13101,,,,,,,,,,
18016,90002D,,,18016,,,,,,,,,,
14167,90002C,,,14167,,,,,,,,,,
14279,90175D,,,14279,,,,,,,,,,
17695,90190A,,,17695,,,,,,,,,,
17982,90072,,,17982,,,,,,,,,,
14672,90073,,,14672,,,,,,,,,,
15563,84535A,,,15563,,,,,,,,,,
13820,47570,,,13820,,,,,,,,,,
14613,84247K,,,14613,,,,,,,,,,
16326,21704,,,16326,,,,,,,,,,
15544,21468,,,15544,,,,,,,,,,
16137,85185F,,,16137,,,,,,,,,,
16535,21655,,,16535,,,,,,,,,,
18194,47556,,,18194,,,,,,,,,,
13615,22210,,,13615,,,,,,,,,,
16262,84558A,,,16262,,,,,,,,,,
17905,20980,,,17905,,,,,,,,,,
15861,84818,,,15861,,,,,,,,,,
15192,21350,,,15192,,,,,,,,,,
17943,21010,,,17943,,,,,,,,,,
14469,71038,,,14469,,,,,,,,,,
13851,21291,,,13851,,,,,,,,,,
15487,21873,,,15487,,,,,,,,,,
13480,21872,,,13480,,,,,,,,,,
15251,21874,,,15251,,,,,,,,,,
12823,72598,,,12823,,,,,,,,,,
13583,21358,,,13583,,,,,,,,,,
14249,21262,,,14249,,,,,,,,,,
16673,16202B,,,16673,,,,,,,,,,
15182,20905,,,15182,,,,,,,,,,
16390,35965,,,16390,,,,,,,,,,
14068,46775B,,,14068,,,,,,,,,,
15943,47578A,,,15943,,,,,,,,,,
16923,85151,,,16923,,,,,,,,,,
15013,20693,,,15013,,,,,,,,,,
15588,84705D,,,15588,,,,,,,,,,
17137,21665,,,17137,,,,,,,,,,
14481,84247J,,,14481,,,,,,,,,,
16014,35241,,,16014,,,,,,,,,,
14820,84971S,,,14820,,,,,,,,,,
15385,21494,,,15385,,,,,,,,,,
12483,22265,,,12483,,,,,,,,,,
13443,79030G,,,13443,,,,,,,,,,
13392,79030A,,,13392,,,,,,,,,,
14306,21171,,,14306,,,,,,,,,,
13897,85129C,,,13897,,,,,,,,,,
15338,21384,,,15338,,,,,,,,,,
18212,21388,,,18212,,,,,,,,,,
16655,21444,,,16655,,,,,,,,,,
12668,84705A,,,12668,,,,,,,,,,
17107,85163A,,,17107,,,,,,,,,,
17176,85165,,,17176,,,,,,,,,,
13478,35004P,,,13478,,,,,,,,,,
14637,85166A,,,14637,,,,,,,,,,
15022,84705F,,,15022,,,,,,,,,,
14370,22054,,,14370,,,,,,,,,,
12810,21613,,,12810,,,,,,,,,,
14047,84690,,,14047,,,,,,,,,,
17365,21282,,,17365,,,,,,,,,,
12800,72351A,,,12800,,,,,,,,,,
12711,85114C,,,12711,,,,,,,,,,
15416,21193,,,15416,,,,,,,,,,
13511,85080,,,13511,,,,,,,,,,
16415,35603C,,,16415,,,,,,,,,,
15512,21824,,,15512,,,,,,,,,,
14821,21823,,,14821,,,,,,,,,,
13156,21803,,,13156,,,,,,,,,,
17361,20793,,,17361,,,,,,,,,,
13628,85031C,,,13628,,,,,,,,,,
15480,79160,,,15480,,,,,,,,,,
18064,20620,,,18064,,,,,,,,,,
17350,84750B,,,17350,,,,,,,,,,
15564,84765,,,15564,,,,,,,,,,
15803,21846,,,15803,,,,,,,,,,
13584,72800A,,,13584,,,,,,,,,,
17146,35471A,,,17146,,,,,,,,,,
15279,47563A,,,15279,,,,,,,,,,
18175,20783,,,18175,,,,,,,,,,
17163,21267,,,17163,,,,,,,,,,
13975,85031A,,,13975,,,,,,,,,,
16300,82553,,,16300,,,,,,,,,,
12848,21944,,,12848,,,,,,,,,,
13538,37477B,,,13538,,,,,,,,,,
17876,85025C,,,17876,,,,,,,,,,
16454,37464,,,16454,,,,,,,,,,
17092,35911A,,,17092,,,,,,,,,,
16067,21348,,,16067,,,,,,,,,,
12805,82011B,,,12805,,,,,,,,,,
13553,85033G,,,13553,,,,,,,,,,
16928,20618,,,16928,,,,,,,,,,
13757,85185B,,,13757,,,,,,,,,,
17311,35599D,,,17311,,,,,,,,,,
16081,21555,,,16081,,,,,,,,,,
14399,22260,,,14399,,,,,,,,,,
12396,37327,,,12396,,,,,,,,,,
15448,84875A,,,15448,,,,,,,,,,
18101,35821P,,,18101,,,,,,,,,,
13619,18098C,,,13619,,,,,,,,,,
16834,62018,,,16834,,,,,,,,,,
17690,22220,,,17690,,,,,,,,,,
12840,90129C,,,12840,,,,,,,,,,
14545,35653,,,14545,,,,,,,,,,
15023,20988,,,15023,,,,,,,,,,
14038,84572,,,14038,,,,,,,,,,
15591,17084N,,,15591,,,,,,,,,,
14497,21011,,,14497,,,,,,,,,,
15732,20950,,,15732,,,,,,,,,,
12373,21550,,,12373,,,,,,,,,,
16583,47569,,,16583,,,,,,,,,,
17281,17084G,,,17281,,,,,,,,,,
16383,10080,,,16383,,,,,,,,,,
16412,21849,,,16412,,,,,,,,,,
13783,21851,,,13783,,,,,,,,,,
15167,20871,,,15167,,,,,,,,,,
17138,21118,,,17138,,,,,,,,,,
16986,35751D,,,16986,,,,,,,,,,
12500,35968,,,12500,,,,,,,,,,
17309,72038P,,,17309,,,,,,,,,,
16266,72750A,,,16266,,,,,,,,,,
15365,35015,,,15365,,,,,,,,,,
17328,90014C,,,17328,,,,,,,,,,
18267,20819,,,18267,,,,,,,,,,
12853,16202E,,,12853,,,,,,,,,,
13009,16201B,,,13009,,,,,,,,,,
16147,16201A,,,16147,,,,,,,,,,
13658,20696,,,13658,,,,,,,,,,
16704,85089,,,16704,,,,,,,,,,
15784,40046A,,,15784,,,,,,,,,,
14682,22182,,,14682,,,,,,,,,,
15660,16202C,,,15660,,,,,,,,,,
13700,85224,,,13700,,,,,,,,,,
15580,22078,,,15580,,,,,,,,,,
15422,85007,,,15422,,,,,,,,,,
15584,22314,,,15584,,,,,,,,,,
16788,22311,,,16788,,,,,,,,,,
16225,21076,,,16225,,,,,,,,,,
12402,22059,,,12402,,,,,,,,,,
14562,84569D,,,14562,,,,,,,,,,
17550,22209,,,17550,,,,,,,,,,
16082,21402,,,16082,,,,,,,,,,
16212,21403,,,16212,,,,,,,,,,
17342,21285,,,17342,,,,,,,,,,
17504,21134,,,17504,,,,,,,,,,
14227,17136A,,,14227,,,,,,,,,,
13497,35471D,,,13497,,,,,,,,,,
16161,21144,,,16161,,,,,,,,,,
13870,22177,,,13870,,,,,,,,,,
16246,82607A,,,16246,,,,,,,,,,
13417,82607E,,,13417,,,,,,,,,,
13304,82607C,,,13304,,,,,,,,,,
14884,72369A,,,14884,,,,,,,,,,
16078,72351B,,,16078,,,,,,,,,,
15339,22228,,,15339,,,,,,,,,,
16781,21438,,,16781,,,,,,,,,,
17514,22270,,,17514,,,,,,,,,,
17294,22284,,,17294,,,,,,,,,,
17647,79000,,,17647,,,,,,,,,,
12524,85017A,,,12524,,,,,,,,,,
12665,21206,,,12665,,,,,,,,,,
17319,21203,,,17319,,,,,,,,,,
17774,21188,,,17774,,,,,,,,,,
15892,85179C,,,15892,,,,,,,,,,
13119,85179A,,,13119,,,,,,,,,,
12370,85180B,,,12370,,,,,,,,,,
13131,85180A,,,13131,,,,,,,,,,
14609,21123,,,14609,,,,,,,,,,
17577,85185E,,,17577,,,,,,,,,,
15082,85185D,,,15082,,,,,,,,,,
12645,22166,,,12645,,,,,,,,,,
12621,21773,,,12621,,,,,,,,,,
16344,79164,,,16344,,,,,,,,,,
17731,16169M,,,17731,,,,,,,,,,
13976,21629,,,13976,,,,,,,,,,
13242,21769,,,13242,,,,,,,,,,
16419,22044,,,16419,,,,,,,,,,
13985,85069,,,13985,,,,,,,,,,
16873,21666,,,16873,,,,,,,,,,
12663,21696,,,12663,,,,,,,,,,
16530,21693,,,16530,,,,,,,,,,
13092,21687,,,13092,,,,,,,,,,
12932,21688,,,12932,,,,,,,,,,
18058,21651,,,18058,,,,,,,,,,
15176,84993B,,,15176,,,,,,,,,,
13164,85040A,,,13164,,,,,,,,,,
12776,90083,,,12776,,,,,,,,,,
17201,16215,,,17201,,,,,,,,,,
17575,21380,,,17575,,,,,,,,,,
12474,21185,,,12474,,,,,,,,,,
16577,21294,,,16577,,,,,,,,,,
12670,21145,,,12670,,,,,,,,,,
15765,15039,,,15765,,,,,,,,,,
12567,84627,,,12567,,,,,,,,,,
14115,21648,,,14115,,,,,,,,,,
14072,21276,,,14072,,,,,,,,,,
16992,22310,,,16992,,,,,,,,,,
14301,22308,,,14301,,,,,,,,,,
17685,21620,,,17685,,,,,,,,,,
14190,21690,,,14190,,,,,,,,,,
15244,84537B,,,15244,,,,,,,,,,
13288,22033,,,13288,,,,,,,,,,
13551,22032,,,13551,,,,,,,,,,
16839,16161M,,,16839,,,,,,,,,,
15807,21450,,,15807,,,,,,,,,,
16978,84763,,,16978,,,,,,,,,,
13629,35810A,,,13629,,,,,,,,,,
13291,35809A,,,13291,,,,,,,,,,
16553,35811A,,,16553,,,,,,,,,,
13815,21157,,,13815,,,,,,,,,,
16895,84569C,,,16895,,,,,,,,,,
15293,21110,,,15293,,,,,,,,,,
15504,21054,,,15504,,,,,,,,,,
12695,21056,,,12695,,,,,,,,,,
13223,20702,,,13223,,,,,,,,,,
17226,21303,,,17226,,,,,,,,,,
17547,22133,,,17547,,,,,,,,,,
15278,22132,,,15278,,,,,,,,,,
14103,21914,,,14103,,,,,,,,,,
15288,82605,,,15288,,,,,,,,,,
12976,85131A,,,12976,,,,,,,,,,
14827,21657,,,14827,,,,,,,,,,
17258,85078,,,17258,,,,,,,,,,
17955,84745A,,,17955,,,,,,,,,,
17029,84745B,,,17029,,,,,,,,,,
15372,22292,,,15372,,,,,,,,,,
13446,22287,,,13446,,,,,,,,,,
16608,22286,,,16608,,,,,,,,,,
15561,20878,,,15561,,,,,,,,,,
17108,21284,,,17108,,,,,,,,,,
15425,84882,,,15425,,,,,,,,,,
15538,21936,,,15538,,,,,,,,,,
16136,21427,,,16136,,,,,,,,,,
13421,22332,,,13421,,,,,,,,,,
13587,21626,,,13587,,,,,,,,,,
14970,22100,,,14970,,,,,,,,,,
15272,22053,,,15272,,,,,,,,,,
17285,79026B,,,17285,,,,,,,,,,
16838,10109,,,16838,,,,,,,,,,
15964,21910,,,15964,,,,,,,,,,
14909,37345,,,14909,,,,,,,,,,
18179,22204,,,18179,,,,,,,,,,
14943,82613A,,,14943,,,,,,,,,,
12426,82613B,,,12426,,,,,,,,,,
12391,82613C,,,12391,,,,,,,,,,
14282,84509G,,,14282,,,,,,,,,,
12380,21564,,,12380,,,,,,,,,,
16330,84687,,,16330,,,,,,,,,,
17136,84902,,,17136,,,,,,,,,,
15371,21984,,,15371,,,,,,,,,,
16544,21153,,,16544,,,,,,,,,,
16860,21536,,,16860,,,,,,,,,,
17241,90214C,,,17241,,,,,,,,,,
17442,90214D,,,17442,,,,,,,,,,
17644,35953,,,17644,,,,,,,,,,
15323,37422,,,15323,,,,,,,,,,
13802,21127,,,13802,,,,,,,,,,
14369,21306,,,14369,,,,,,,,,,
16359,21187,,,16359,,,,,,,,,,
14989,82599,,,14989,,,,,,,,,,
16584,37333,,,16584,,,,,,,,,,
13407,84989B,,,13407,,,,,,,,,,
17171,37423,,,17171,,,,,,,,,,
14639,72799A,,,14639,,,,,,,,,,
17778,85173,,,17778,,,,,,,,,,
17789,21644,,,17789,,,,,,,,,,
15325,21643,,,15325,,,,,,,,,,
12960,35824C,,,12960,,,,,,,,,,
13503,35817B,,,13503,,,,,,,,,,
12972,84875D,,,12972,,,,,,,,,,
17931,46000U,,,17931,,,,,,,,,,
13842,15059A,,,13842,,,,,,,,,,
16911,84255B,,,16911,,,,,,,,,,
16774,46776F,,,16774,,,,,,,,,,
14944,15060B,,,14944,,,,,,,,,,
13659,84912A,,,13659,,,,,,,,,,
18285,84922,,,18285,,,,,,,,,,
14244,21000,,,14244,,,,,,,,,,
17560,90190B,,,17560,,,,,,,,,,
13613,90178A,,,13613,,,,,,,,,,
13115,90019C,,,13115,,,,,,,,,,
14276,90024C,,,14276,,,,,,,,,,
17426,90011B,,,17426,,,,,,,,,,
14584,90012B,,,14584,,,,,,,,,,
16447,85023B,,,16447,,,,,,,,,,
16938,84937,,,16938,,,,,,,,,,
18218,21509,,,18218,,,,,,,,,,
14322,79190D,,,14322,,,,,,,,,,
14495,79190A,,,14495,,,,,,,,,,
14890,85114B,,,14890,,,,,,,,,,
13773,21116,,,13773,,,,,,,,,,
13020,10134,,,13020,,,,,,,,,,
12993,21279,,,12993,,,,,,,,,,
13431,21051,,,13431,,,,,,,,,,
12898,72803B,,,12898,,,,,,,,,,
16170,47592B,,,16170,,,,,,,,,,
13579,84548,,,13579,,,,,,,,,,
14152,84676,,,14152,,,,,,,,,,
18178,16015,,,18178,,,,,,,,,,
17763,85098B,,,17763,,,,,,,,,,
12891,20764,,,12891,,,,,,,,,,
15693,84706B,,,15693,,,,,,,,,,
17721,35004G,,,17721,,,,,,,,,,
14686,22334,,,14686,,,,,,,,,,
18153,37441,,,18153,,,,,,,,,,
14783,20893,,,14783,,,,,,,,,,
18257,22074,,,18257,,,,,,,,,,
15306,20733,,,15306,,,,,,,,,,
16487,21682,,,16487,,,,,,,,,,
13333,21392,,,13333,,,,,,,,,,
13957,35958,,,13957,,,,,,,,,,
16574,84725,,,16574,,,,,,,,,,
13604,84721,,,13604,,,,,,,,,,
17145,21506,,,17145,,,,,,,,,,
13662,72045D,,,13662,,,,,,,,,,
13552,84247G,,,13552,,,,,,,,,,
13191,22057,,,13191,,,,,,,,,,
18283,84581,,,18283,,,,,,,,,,
12416,79338,,,12416,,,,,,,,,,
13761,21728,,,13761,,,,,,,,,,
14878,21324,,,14878,,,,,,,,,,
15988,21667,,,15988,,,,,,,,,,
16693,21055,,,16693,,,,,,,,,,
15774,21288,,,15774,,,,,,,,,,
16948,22098,,,16948,,,,,,,,,,
13980,47562,,,13980,,,,,,,,,,
17332,85136B,,,17332,,,,,,,,,,
15928,22291,,,15928,,,,,,,,,,
12945,84906,,,12945,,,,,,,,,,
14602,21389,,,14602,,,,,,,,,,
16273,20738,,,16273,,,,,,,,,,
13163,16014,,,13163,,,,,,,,,,
13540,16016,,,13540,,,,,,,,,,
12360,85079,,,12360,,,,,,,,,,
13434,21447,,,13434,,,,,,,,,,
12389,21899,,,12389,,,,,,,,,,
16619,84761,,,16619,,,,,,,,,,
14997,21446,,,14997,,,,,,,,,,
17439,21422,,,17439,,,,,,,,,,
13217,21683,,,13217,,,,,,,,,,
17195,21664,,,17195,,,,,,,,,,
17081,21942,,,17081,,,,,,,,,,
15754,22067,,,15754,,,,,,,,,,
17259,84595E,,,17259,,,,,,,,,,
15673,51012L,,,15673,,,,,,,,,,
16071,22258,,,16071,,,,,,,,,,
13340,21542,,,13340,,,,,,,,,,
17829,21224,,,17829,,,,,,,,,,
13513,22158,,,13513,,,,,,,,,,
12727,85167A,,,12727,,,,,,,,,,
17667,20861,,,17667,,,,,,,,,,
13330,21656,,,13330,,,,,,,,,,
15493,84680,,,15493,,,,,,,,,,
16416,21092,,,16416,,,,,,,,,,
13052,21381,,,13052,,,,,,,,,,
14726,20855,,,14726,,,,,,,,,,
15295,20778,,,15295,,,,,,,,,,
13772,81950B,,,13772,,,,,,,,,,
15241,20854,,,15241,,,,,,,,,,
13490,81950V,,,13490,,,,,,,,,,
15955,90036C,,,15955,,,,,,,,,,
14681,90184B,,,14681,,,,,,,,,,
15290,85036A,,,15290,,,,,,,,,,
16388,35096B,,,16388,,,,,,,,,,
12482,84030E,,,12482,,,,,,,,,,
16406,21903,,,16406,,,,,,,,,,
12998,22323,,,12998,,,,,,,,,,
12907,45008C,,,12907,,,,,,,,,,
15439,84562A,,,15439,,,,,,,,,,
14284,84880,,,14284,,,,,,,,,,
12909,84993A,,,12909,,,,,,,,,,
15659,C2,,,15659,,,,,,,,,,
13765,21723,,,13765,,,,,,,,,,
15058,90089,,,15058,,,,,,,,,,
16208,37482P,,,16208,,,,,,,,,,
13944,85179B,,,13944,,,,,,,,,,
14535,35609A,,,14535,,,,,,,,,,
13469,21654,,,13469,,,,,,,,,,
13104,21316,,,13104,,,,,,,,,,
17358,22299,,,17358,,,,,,,,,,
16118,46776B,,,16118,,,,,,,,,,
14006,85217,,,14006,,,,,,,,,,
16471,84625A,,,16471,,,,,,,,,,
13334,84625D,,,13334,,,,,,,,,,
14740,21207,,,14740,,,,,,,,,,
18009,46126A,,,18009,,,,,,,,,,
17863,90040D,,,17863,,,,,,,,,,
13771,90120C,,,13771,,,,,,,,,,
13240,84356,,,13240,,,,,,,,,,
14402,22045,,,14402,,,,,,,,,,
17200,22048,,,17200,,,,,,,,,,
13935,22050,,,13935,,,,,,,,,,
16677,22052,,,16677,,,,,,,,,,
17534,22099,,,17534,,,,,,,,,,
13652,51014A,,,13652,,,,,,,,,,
14770,51014L,,,14770,,,,,,,,,,
17207,85017B,,,17207,,,,,,,,,,
17883,85017C,,,17883,,,,,,,,,,
17011,20760,,,17011,,,,,,,,,,
15366,22040,,,15366,,,,,,,,,,
16631,22223,,,16631,,,,,,,,,,
15124,84945,,,15124,,,,,,,,,,
13598,22324,,,13598,,,,,,,,,,
14177,17109D,,,14177,,,,,,,,,,
16913,72755D,,,16913,,,,,,,,,,
14459,72819,,,14459,,,,,,,,,,
16807,79406,,,16807,,,,,,,,,,
15477,84846A,,,15477,,,,,,,,,,
15569,17107D,,,15569,,,,,,,,,,
15149,16169P,,,15149,,,,,,,,,,
14807,84932A,,,14807,,,,,,,,,,
18046,84932B,,,18046,,,,,,,,,,
17760,84932C,,,17760,,,,,,,,,,
15990,84932D,,,15990,,,,,,,,,,
15664,84933C,,,15664,,,,,,,,,,
16939,16169K,,,16939,,,,,,,,,,
13561,21265,,,13561,,,,,,,,,,
16283,47599A,,,16283,,,,,,,,,,
17373,20717,,,17373,,,,,,,,,,
18069,37408,,,18069,,,,,,,,,,
14798,16011,,,14798,,,,,,,,,,
12598,21215,,,12598,,,,,,,,,,
13010,21250,,,13010,,,,,,,,,,
15219,21974,,,15219,,,,,,,,,,
14131,84795D,,,14131,,,,,,,,,,
16511,84425A,,,16511,,,,,,,,,,
16037,79191B,,,16037,,,,,,,,,,
13018,85087,,,13018,,,,,,,,,,
17305,84081,,,17305,,,,,,,,,,
16521,21462,,,16521,,,,,,,,,,
16519,22058,,,16519,,,,,,,,,,
17359,21399,,,17359,,,,,,,,,,
16731,79144B,,,16731,,,,,,,,,,
14257,37495,,,14257,,,,,,,,,,
15603,85184D,,,15603,,,,,,,,,,
17116,22312,,,17116,,,,,,,,,,
13911,20837,,,13911,,,,,,,,,,
17330,85096,,,17330,,,,,,,,,,
12731,84625B,,,12731,,,,,,,,,,
16946,85116,,,16946,,,,,,,,,,
17477,21717,,,17477,,,,,,,,,,
13797,22318,,,13797,,,,,,,,,,
13126,35969,,,13126,,,,,,,,,,
14818,20688,,,14818,,,,,,,,,,
15927,84469,,,15927,,,,,,,,,,
16960,21630,,,16960,,,,,,,,,,
16177,21661,,,16177,,,,,,,,,,
12809,21662,,,12809,,,,,,,,,,
15606,21274,,,15606,,,,,,,,,,
13593,21332,,,13593,,,,,,,,,,
16520,20766,,,16520,,,,,,,,,,
13793,84924D,,,13793,,,,,,,,,,
13663,84924A,,,13663,,,,,,,,,,
16947,84916,,,16947,,,,,,,,,,
16099,85019C,,,16099,,,,,,,,,,
18148,72801D,,,18148,,,,,,,,,,
17020,21280,,,17020,,,,,,,,,,
13873,35597D,,,13873,,,,,,,,,,
13294,21195,,,13294,,,,,,,,,,
12594,21194,,,12594,,,,,,,,,,
16461,84944,,,16461,,,,,,,,,,
16636,21774,,,16636,,,,,,,,,,
13214,21321,,,13214,,,,,,,,,,
13722,21320,,,13722,,,,,,,,,,
13595,84926E,,,13595,,,,,,,,,,
14142,84926D,,,14142,,,,,,,,,,
18152,72800D,,,18152,,,,,,,,,,
16285,72800B,,,16285,,,,,,,,,,
14157,35611B,,,14157,,,,,,,,,,
15875,35598B,,,15875,,,,,,,,,,
13835,35598D,,,13835,,,,,,,,,,
13377,35600D,,,13377,,,,,,,,,,
17049,82093,,,17049,,,,,,,,,,
17930,21627,,,17930,,,,,,,,,,
15084,20762,,,15084,,,,,,,,,,
14097,47598,,,14097,,,,,,,,,,
18151,16046,,,18151,,,,,,,,,,
13879,21445,,,13879,,,,,,,,,,
16859,79413,,,16859,,,,,,,,,,
18272,21443,,,18272,,,,,,,,,,
17847,51020B,,,17847,,,,,,,,,,
14018,17001,,,14018,,,,,,,,,,
14426,21801,,,14426,,,,,,,,,,
13881,21147,,,13881,,,,,,,,,,
17159,85032C,,,17159,,,,,,,,,,
16096,20847,,,16096,,,,,,,,,,
15030,75149N,,,15030,,,,,,,,,,
17448,22317,,,17448,,,,,,,,,,
12371,22066,,,12371,,,,,,,,,,
17718,21779,,,17718,,,,,,,,,,
12399,37492B,,,12399,,,,,,,,,,
13280,37492D,,,13280,,,,,,,,,,
12568,84427B,,,12568,,,,,,,,,,
13476,21032,,,13476,,,,,,,,,,
18226,21027,,,18226,,,,,,,,,,
14957,16216,,,14957,,,,,,,,,,
14186,84509F,,,14186,,,,,,,,,,
13544,84509C,,,13544,,,,,,,,,,
13515,47013C,,,13515,,,,,,,,,,
15094,21373,,,15094,,,,,,,,,,
17190,85023A,,,17190,,,,,,,,,,
17006,85024C,,,17006,,,,,,,,,,
15630,85024A,,,15630,,,,,,,,,,
15978,21915,,,15978,,,,,,,,,,
14852,72754A,,,14852,,,,,,,,,,
15929,84705C,,,15929,,,,,,,,,,
14233,85166B,,,14233,,,,,,,,,,
13799,16049,,,13799,,,,,,,,,,
16331,21287,,,16331,,,,,,,,,,
14172,21635,,,14172,,,,,,,,,,
13201,21636,,,13201,,,,,,,,,,
13508,21634,,,13508,,,,,,,,,,
16271,72753B,,,16271,,,,,,,,,,
15443,84569B,,,15443,,,,,,,,,,
14205,21189,,,14205,,,,,,,,,,
14877,22230,,,14877,,,,,,,,,,
18253,10123C,,,18253,,,,,,,,,,
13764,84608,,,13764,,,,,,,,,,
17236,84753A,,,17236,,,,,,,,,,
17589,21719,,,17589,,,,,,,,,,
17734,46776D,,,17734,,,,,,,,,,
13276,72586,,,13276,,,,,,,,,,
16466,72122,,,16466,,,,,,,,,,
12530,84978,,,12530,,,,,,,,,,
15631,35633B,,,15631,,,,,,,,,,
18029,20652,,,18029,,,,,,,,,,
16984,21456,,,16984,,,,,,,,,,
16310,21457,,,16310,,,,,,,,,,
16534,21458,,,16534,,,,,,,,,,
17158,22146,,,17158,,,,,,,,,,
12369,84452,,,12369,,,,,,,,,,
14493,84456,,,14493,,,,,,,,,,
15847,22229,,,15847,,,,,,,,,,
17298,90040C,,,17298,,,,,,,,,,
15791,90040A,,,15791,,,,,,,,,,
12765,84247L,,,12765,,,,,,,,,,
17682,21802,,,17682,,,,,,,,,,
12825,90210C,,,12825,,,,,,,,,,
17325,90210D,,,17325,,,,,,,,,,
16754,90210A,,,16754,,,,,,,,,,
13157,35932,,,13157,,,,,,,,,,
17542,21830,,,17542,,,,,,,,,,
17857,84508B,,,17857,,,,,,,,,,
12514,84508C,,,12514,,,,,,,,,,
17960,72751A,,,17960,,,,,,,,,,
16628,72751B,,,16628,,,,,,,,,,
17289,72752B,,,17289,,,,,,,,,,
17025,72752A,,,17025,,,,,,,,,,
16537,21879,,,16537,,,,,,,,,,
17488,79149B,,,17488,,,,,,,,,,
16681,21201,,,16681,,,,,,,,,,
13454,22060,,,13454,,,,,,,,,,
16275,84830,,,16275,,,,,,,,,,
16568,21785,,,16568,,,,,,,,,,
18245,21338,,,18245,,,,,,,,,,
17002,35271S,,,17002,,,,,,,,,,
17661,21300,,,17661,,,,,,,,,,
17438,21397,,,17438,,,,,,,,,,
15250,17014C,,,15250,,,,,,,,,,
16182,37482B,,,16182,,,,,,,,,,
17266,35972,,,17266,,,,,,,,,,
15437,85117,,,15437,,,,,,,,,,
12495,21028,,,12495,,,,,,,,,,
15921,21331,,,15921,,,,,,,,,,
18039,85129D,,,18039,,,,,,,,,,
17907,84279P,,,17907,,,,,,,,,,
14147,90184A,,,14147,,,,,,,,,,
15722,90184C,,,15722,,,,,,,,,,
13627,90010A,,,13627,,,,,,,,,,
16854,21418,,,16854,,,,,,,,,,
13283,85142,,,13283,,,,,,,,,,
16707,85159A,,,16707,,,,,,,,,,
16756,84584,,,16756,,,,,,,,,,
12542,20699,,,12542,,,,,,,,,,
14676,84586L,,,14676,,,,,,,,,,
13316,16219,,,13316,,,,,,,,,,
12638,85214,,,12638,,,,,,,,,,
13484,22263,,,13484,,,,,,,,,,
